language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,value,rel_dev,guarded
matlab,ip,10,1200,absolute periodic,0,1,3,21,0,centres,auto,inf,0.860029625,1,0.0304838595423252,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,3,21,0,mobius,auto,inf,0.00151030274,158,0.0304838595423252,6.939e-18,0
matlab,ip,10,1200,absolute periodic,0,1,3,32,0,bulger,auto,inf,2.01942742,1,0.167736761296109,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,3,32,0,mobius,auto,inf,0.00228367748,104,0.167736761296109,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,3,48,0,mobius,auto,inf,0.00230932432,74,0.146988544714729,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,6,0,bulger,auto,inf,0.0010054994,276,0,0.000e+00,0
matlab,ip,10,1200,absolute periodic,0,1,4,6,0,centres,auto,inf,0.00342640278,45,0,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,6,0,mobius,auto,inf,0.00511108929,56,4.35097931081328e-17,4.351e-17,0
matlab,ip,10,1200,absolute periodic,0,1,4,9,0,bulger,auto,inf,0.00801536623,19,4.43500979992704e-14,6.939e-21,0
matlab,ip,10,1200,absolute periodic,0,1,4,9,0,centres,auto,inf,0.149731396,2,4.43501049382959e-14,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,9,0,mobius,auto,inf,0.00513992262,56,4.43498594384859e-14,2.455e-19,0
matlab,ip,10,1200,absolute periodic,0,1,4,14,0,bulger,auto,inf,0.3845875,1,0.000157350013420055,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,14,0,mobius,auto,inf,0.0052114775,50,0.000157350013420055,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,21,0,mobius,auto,inf,0.00565897917,28,0.0036024429979136,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,32,0,mobius,auto,inf,0.00839079386,19,0.0304013578355361,NaN,0
matlab,ip,10,1200,absolute periodic,0,1,4,48,0,mobius,auto,inf,0.00814696991,36,0.233251057798259,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,6,0,bulger,auto,inf,0.00025171767,656,0.368737030378088,1.110e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,2,6,0,centres,auto,inf,0.000258311594,1104,0.368737030378088,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,6,0,mobius,auto,inf,0.000769071429,196,0.368737030378329,2.408e-13,0
matlab,ip,10,1200,relative non-periodic,1,0,2,9,0,bulger,auto,inf,0.000352216346,780,0.372216067331162,0.000e+00,0
matlab,ip,10,1200,relative non-periodic,1,0,2,9,0,centres,auto,inf,0.000438792218,680,0.372216067331162,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,9,0,mobius,auto,inf,0.000824923232,330,0.372216067331172,1.055e-14,0
matlab,ip,10,1200,relative non-periodic,1,0,2,14,0,bulger,auto,inf,0.000960049967,256,0.669770107729462,1.110e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,2,14,0,centres,auto,inf,0.00182650407,82,0.669770107729462,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,14,0,mobius,auto,inf,0.000937625608,274,0.669770107729404,5.829e-14,0
matlab,ip,10,1200,relative non-periodic,1,0,2,21,0,bulger,auto,inf,0.00218893576,72,0.690109175145565,1.110e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,2,21,0,centres,auto,inf,0.0029610506,98,0.690109175145566,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,21,0,mobius,auto,inf,0.00101565448,147,0.690109175145617,5.151e-14,0
matlab,ip,10,1200,relative non-periodic,1,0,2,32,0,bulger,auto,inf,0.0057412037,27,0.899424560138648,0.000e+00,0
matlab,ip,10,1200,relative non-periodic,1,0,2,32,0,centres,auto,inf,0.010666628,14,0.899424560138648,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,32,0,mobius,auto,inf,0.00117377967,250,0.899424560138645,2.776e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,2,48,0,bulger,auto,inf,0.0251155595,7,0.902107318913119,1.110e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,2,48,0,centres,auto,inf,0.0493878333,4,0.902107318913119,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,2,48,0,mobius,auto,inf,0.00139580787,108,0.90210731891311,9.215e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,3,6,0,bulger,auto,inf,0.000383601308,656,0.00014256969662605,2.130e-17,0
matlab,ip,10,1200,relative non-periodic,1,0,3,6,0,centres,auto,inf,0.00107917076,234,0.000142569696626028,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,6,0,mobius,auto,inf,0.0283569375,6,0.000142569696626216,1.879e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,3,9,0,bulger,auto,inf,0.00135042239,182,0.0137883812441281,2.776e-17,0
matlab,ip,10,1200,relative non-periodic,1,0,3,9,0,centres,auto,inf,0.00315186594,92,0.0137883812441281,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,9,0,mobius,auto,inf,0.0581669722,3,0.0137883812441302,2.104e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,3,14,0,bulger,auto,inf,0.00827216551,36,0.212747554650033,2.776e-17,0
matlab,ip,10,1200,relative non-periodic,1,0,3,14,0,centres,auto,inf,0.0419606458,4,0.212747554650033,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,14,0,mobius,auto,inf,0.0965260833,2,0.21274755465005,1.707e-14,0
matlab,ip,10,1200,relative non-periodic,1,0,3,21,0,bulger,auto,inf,0.0896995417,2,0.303014818534579,5.107e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,3,21,0,centres,auto,inf,0.534124708,1,0.303014818534574,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,21,0,mobius,auto,inf,0.079062125,2,0.303014818534602,2.814e-14,0
matlab,ip,10,1200,relative non-periodic,1,0,3,32,0,bulger,auto,inf,1.25424454,1,0.486703809495809,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,32,0,mobius,auto,inf,0.0923723542,2,0.486703809495873,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,3,48,0,mobius,auto,inf,0.089855125,2,0.712103865566769,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,6,0,bulger,auto,inf,0.00056174502,410,7.21311802554075e-13,1.058e-25,0
matlab,ip,10,1200,relative non-periodic,1,0,4,6,0,centres,auto,inf,0.00221548531,122,7.2131180255418e-13,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,6,0,mobius,auto,inf,0.154082354,1,7.20637556261291e-13,6.742e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,4,9,0,bulger,auto,inf,0.00500564516,31,8.60392901317736e-06,4.876e-18,0
matlab,ip,10,1200,relative non-periodic,1,0,4,9,0,centres,auto,inf,0.0839632708,2,8.60392901318223e-06,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,9,0,mobius,auto,inf,0.189176729,1,8.60392901217798e-06,1.004e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,4,14,0,bulger,auto,inf,0.206451833,1,0.00665738362847614,1.665e-16,0
matlab,ip,10,1200,relative non-periodic,1,0,4,14,0,centres,auto,inf,24.9103776,1,0.00665738362847597,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,14,0,mobius,auto,inf,0.229732625,1,0.00665738362847216,3.809e-15,0
matlab,ip,10,1200,relative non-periodic,1,0,4,21,0,bulger,auto,inf,31.4231814,1,0.0739441617944784,NaN,1
matlab,ip,10,1200,relative non-periodic,1,0,4,21,0,mobius,auto,inf,0.554360583,1,0.0739441617944593,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,32,0,mobius,auto,inf,1.14174663,1,0.141970742719559,NaN,0
matlab,ip,10,1200,relative non-periodic,1,0,4,48,0,mobius,auto,inf,2.41855296,1,0.415539996279206,NaN,0
matlab,ip,10,1200,relative periodic,1,1,2,6,0,bulger,auto,inf,0.000251115464,852,0.418996040623629,5.551e-17,0
matlab,ip,10,1200,relative periodic,1,1,2,6,0,centres,auto,inf,0.000250749527,1058,0.418996040623629,NaN,0
