CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
3,30,4,0.0050,0,674041,42.7805,701.4101,16.3956
3,30,4,0.0125,0,127449,10.3607,307.8644,29.7146
3,30,4,0.0500,0,15625,1.6742,105.9977,63.3121
3,30,4,0.2000,0,4489,1.9612,53.3053,27.1804
3,30,8,0.0020,0,3932289,604.2305,7063.4179,11.6899
3,30,8,0.0050,0,674041,71.0513,3141.0880,44.2087
3,30,8,0.0125,0,127449,18.1897,1209.3854,66.4873
3,30,8,0.0500,0,15625,7.6110,401.3837,52.7373
3,30,8,0.2000,0,4489,2.6788,214.2245,79.9706
3,30,16,0.0020,0,3932289,1039.3657,25826.9944,24.8488
3,30,16,0.0050,0,674041,175.1976,10543.8054,60.1824
3,30,16,0.0125,0,127449,27.1800,4618.4125,169.9198
3,30,16,0.0500,0,15625,11.5952,1604.7869,138.4009
3,30,16,0.2000,0,4489,2.8133,849.9164,302.1030
4,4,1,0.0020,0,7797729087,nan,nan,nan
4,4,1,0.0050,0,553387661,nan,nan,nan
4,4,1,0.0125,0,45499293,nan,nan,nan
4,4,1,0.0500,0,1953125,1.5909,1.5611,0.9812
4,4,1,0.2000,0,300763,1.4505,1.3946,0.9615
4,4,2,0.0020,0,7797729087,nan,nan,nan
4,4,2,0.0050,0,553387661,nan,nan,nan
4,4,2,0.0125,0,45499293,nan,nan,nan
4,4,2,0.0500,0,1953125,5.7923,3.4817,0.6011
4,4,2,0.2000,0,300763,4.1850,4.1835,0.9996
4,4,4,0.0020,0,7797729087,nan,nan,nan
4,4,4,0.0050,0,553387661,nan,nan,nan
4,4,4,0.0125,0,45499293,nan,nan,nan
4,4,4,0.0500,0,1953125,21.0975,19.8750,0.9421
4,4,4,0.2000,0,300763,18.6156,14.0514,0.7548
4,4,8,0.0020,0,7797729087,nan,nan,nan
4,4,8,0.0050,0,553387661,nan,nan,nan
4,4,8,0.0125,0,45499293,nan,nan,nan
4,4,8,0.0500,0,1953125,292.2489,82.5668,0.2825
4,4,8,0.2000,0,300763,36.3682,40.7644,1.1209
4,4,16,0.0020,0,7797729087,nan,nan,nan
4,4,16,0.0050,0,553387661,nan,nan,nan
4,4,16,0.0125,0,45499293,nan,nan,nan
