language,task,sigma,period,mode,is_rel,is_per,r,K,n_queries,method,rel_route,truncation,seconds,reps,guarded,value,rel_dev
python,ip,10.0,1200.0,absolute periodic,False,True,2,14,,centres,forced-by-method,inf,0.0011089445363162765,151,False,0.14509436879686852,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,14,,bulger,forced-by-method,inf,0.000640841739955922,446,False,0.14509436879686852,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,2,14,,mobius,forced-by-method,inf,0.00047037513475326896,616,False,0.1450943687968685,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute periodic,False,True,2,21,,centres,forced-by-method,inf,0.005078627879466412,58,False,0.09277112675574216,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,21,,bulger,forced-by-method,inf,0.0026735995370135816,108,False,0.09277112675574217,1.3877787807814457e-17
python,ip,10.0,1200.0,absolute periodic,False,True,2,21,,mobius,forced-by-method,inf,0.0004759450431046044,580,False,0.09277112675574213,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute periodic,False,True,2,32,,centres,forced-by-method,inf,0.03623708337545395,8,False,0.22960154526110785,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,32,,bulger,forced-by-method,inf,0.01813561456219759,16,False,0.22960154526110782,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute periodic,False,True,2,32,,mobius,forced-by-method,inf,0.0005751383509867045,490,False,0.22960154526110782,2.7755575615628914e-17
python,ip,10.0,1200.0,absolute periodic,False,True,2,48,,centres,forced-by-method,inf,0.22243845800403506,1,False,0.2279458911151105,nan
python,ip,10.0,1200.0,absolute periodic,False,True,2,48,,bulger,forced-by-method,inf,0.10050456249155104,2,False,0.2279458911151105,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,2,48,,mobius,forced-by-method,inf,0.0006241140957733497,470,False,0.2279458911151105,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,3,6,,centres,forced-by-method,inf,0.0008468546349034655,356,False,1.6223023154987553e-07,nan
python,ip,10.0,1200.0,absolute periodic,False,True,3,6,,bulger,forced-by-method,inf,0.00023376383110121536,1202,False,1.622302315498755e-07,2.6469779601696886e-23
python,ip,10.0,1200.0,absolute periodic,False,True,3,6,,mobius,forced-by-method,inf,0.001178141441414482,256,False,1.6223023155222515e-07,2.3496164561242257e-18
python,ip,10.0,1200.0,absolute periodic,False,True,3,9,,centres,forced-by-method,inf,0.014052533300127835,10,False,0.019606251027629897,nan
python,ip,10.0,1200.0,absolute periodic,False,True,3,9,,bulger,forced-by-method,inf,0.0017686438647640014,148,False,0.019606251027629897,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,3,9,,mobius,forced-by-method,inf,0.0011485429611977536,258,False,0.019606251027629883,1.3877787807814457e-17
python,ip,10.0,1200.0,absolute periodic,False,True,3,14,,centres,forced-by-method,inf,0.28601120796520263,1,False,0.06763879918460693,nan
python,ip,10.0,1200.0,absolute periodic,False,True,3,14,,bulger,forced-by-method,inf,0.04413458333389523,6,False,0.06763879918460693,0.0
python,ip,10.0,1200.0,absolute periodic,False,True,3,14,,mobius,forced-by-method,inf,0.0011518982732923178,256,False,0.06763879918460682,1.1102230246251565e-16
