CSV_BEGIN
r,K,N,sigmaOverP,isPer,gridSize,msSpectral,msGrid,ratio
2,8,4,0.0050,0,821,2.3868,21.1538,8.8630
2,8,4,0.0125,0,357,0.8251,8.6348,10.4648
2,8,4,0.0500,0,125,0.3191,2.7758,8.6994
2,8,4,0.2000,0,67,0.2167,1.7030,7.8598
2,8,8,0.0020,0,1983,7.2560,177.8397,24.5095
2,8,8,0.0050,0,821,5.3183,76.6193,14.4066
2,8,8,0.0125,0,357,1.1932,36.9779,30.9914
2,8,8,0.0500,0,125,0.5735,12.1018,21.1017
2,8,8,0.2000,0,67,0.4259,6.5782,15.4448
2,8,16,0.0020,0,1983,13.2471,783.7978,59.1674
2,8,16,0.0050,0,821,9.7412,328.8150,33.7550
2,8,16,0.0125,0,357,3.9770,147.6738,37.1320
2,8,16,0.0500,0,125,1.1316,52.8844,46.7332
2,8,16,0.2000,0,67,0.8016,24.9873,31.1724
2,16,1,0.0020,0,1983,1.5908,8.0369,5.0522
2,16,1,0.0050,0,821,0.9942,4.1452,4.1695
2,16,1,0.0125,0,357,0.7962,1.5477,1.9438
2,16,1,0.0500,0,125,0.1285,0.7568,5.8898
2,16,1,0.2000,0,67,0.0990,0.6353,6.4144
2,16,2,0.0020,0,1983,3.2668,36.3821,11.1369
2,16,2,0.0050,0,821,1.6720,13.7811,8.2421
2,16,2,0.0125,0,357,1.4130,7.4482,5.2713
2,16,2,0.0500,0,125,0.2240,2.2497,10.0452
2,16,2,0.2000,0,67,0.1607,1.2497,7.7783
2,16,4,0.0020,0,1983,5.9767,137.9512,23.0813
2,16,4,0.0050,0,821,2.6720,55.0933,20.6184
2,16,4,0.0125,0,357,2.5534,24.1052,9.4404
2,16,4,0.0500,0,125,0.4427,8.7671,19.8014
2,16,4,0.2000,0,67,0.2969,4.8652,16.3856
2,16,8,0.0020,0,1983,10.9209,517.5127,47.3873
2,16,8,0.0050,0,821,5.7384,230.7355,40.2089
2,16,8,0.0125,0,357,4.5995,103.4802,22.4982
2,16,8,0.0500,0,125,0.8585,36.1569,42.1184
2,16,8,0.2000,0,67,0.5620,18.4453,32.8185
2,16,16,0.0020,0,1983,20.8454,2078.5568,99.7129
2,16,16,0.0050,0,821,11.0308,942.3630,85.4299
2,16,16,0.0125,0,357,7.3465,422.8222,57.5546
2,16,16,0.0500,0,125,1.6665,155.2485,93.1561
2,16,16,0.2000,0,67,1.0962,81.5859,74.4227
2,30,1,0.0020,0,1983,2.4008,25.8725,10.7769
2,30,1,0.0050,0,821,1.2575,11.0059,8.7522
2,30,1,0.0125,0,357,0.8277,5.0125,6.0558
2,30,1,0.0500,0,125,0.4285,1.7490,4.0812
2,30,1,0.2000,0,67,0.1216,1.6738,13.7667
2,30,2,0.0020,0,1983,4.9208,96.6403,19.6393
2,30,2,0.0050,0,821,2.2070,36.2221,16.4127
2,30,2,0.0125,0,357,1.1595,16.2900,14.0497
2,30,2,0.0500,0,125,0.3233,7.0006,21.6514
2,30,2,0.2000,0,67,0.2164,3.8645,17.8602
2,30,4,0.0020,0,1983,9.4995,365.0482,38.4281
2,30,4,0.0050,0,821,4.2136,156.7053,37.1905
2,30,4,0.0125,0,357,2.5688,66.6517,25.9467
2,30,4,0.0500,0,125,0.6164,23.9413,38.8422
2,30,4,0.2000,0,67,0.4142,12.6436,30.5278
2,30,8,0.0020,0,1983,17.2264,1396.2776,81.0544
2,30,8,0.0050,0,821,8.5246,591.7460,69.4161
2,30,8,0.0125,0,357,4.9598,260.1349,52.4492
2,30,8,0.0500,0,125,1.8791,94.0496,50.0497
2,30,8,0.2000,0,67,0.8011,50.7973,63.4108
