# calibrate_rel_ip_cost
# python 3.12.2, numpy 2.4.4
# truncation_sigmas 6.0, period 1200.0
# budget 5.0, repeat_below 0.25, seeds [1]
# times in milliseconds. inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. nan
# means the arm is inadmissible in that mode, or raised.
# declined_* says why an arm was not measured: memory (working set does not
# fit, by exact arithmetic), rate (over budget, predicted from cells already
# timed), prior (over budget, from the built-in rate before any measurement
# existed), budget (it ran, and exceeded).
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,4,asym,flat,1,25,1,400,20,30,0.2843,0.6873,0.4721,0.5573,6.2160,8.127e-14,centres,bulger,,,
2,5,6,16,asym,flat,0,3,1,2427,20,30,1.7129,4.1561,15.0017,8.1067,24.4560,1.998e-15,centres,bulger,,,
2,5,6,16,asym,flat,1,3,1,3332,20,30,2.2927,4.7558,7.5304,8.9173,24.4560,2.554e-15,centres,bulger,,,
2,5,6,16,asym,flat,0,25,1,330,20,30,9.1050,4.9145,2.2865,8.1067,24.4560,1.110e-16,centres,mobius,,,
2,5,6,16,asym,flat,1,25,1,400,20,30,2.9258,4.6820,1.4155,8.9173,24.4560,4.441e-16,centres,mobius,,,
2,5,6,64,asym,flat,0,3,1,2437,20,30,20.9177,65.0565,50.2899,129.7067,316.2960,3.442e-15,centres,bulger,,,
2,5,6,64,asym,flat,1,3,1,3332,20,30,34.6240,74.3604,27.0501,142.6773,316.2960,1.110e-16,centres,mobius,,,
2,5,6,64,asym,flat,0,25,1,333,20,30,125.0217,65.0636,8.7285,129.7067,316.2960,1.110e-16,centres,mobius,,,
2,5,6,64,asym,flat,1,25,1,400,20,30,48.2232,71.7333,5.3889,142.6773,316.2960,2.220e-16,centres,mobius,,,
2,5,6,1,asym,decay,0,3,1,1570,20,30,0.3000,0.1830,0.9089,0.0317,5.0760,6.836e-14,centres,mobius,,,
2,5,6,1,asym,decay,1,3,1,3332,20,30,0.0909,0.1826,0.6847,0.0348,5.0760,3.247e-15,centres,bulger,,,
2,5,6,1,asym,decay,0,25,1,271,20,30,0.3315,0.2022,0.3238,0.0317,5.0760,7.523e-13,centres,mobius,,,
2,5,6,1,asym,decay,1,25,1,400,20,30,0.0943,0.1860,0.2435,0.0348,5.0760,1.047e-12,centres,bulger,,,
2,5,6,4,asym,decay,0,3,1,2219,20,30,0.4009,0.6262,3.3407,0.5067,6.2160,1.260e-13,centres,bulger,,,
2,5,6,4,asym,decay,1,3,1,3332,20,30,0.2393,0.6818,2.3055,0.5573,6.2160,1.145e-13,centres,bulger,,,
2,5,6,4,asym,decay,0,25,1,314,20,30,0.7915,0.5945,0.7305,0.5067,6.2160,1.088e-14,centres,mobius,,,
2,5,6,4,asym,decay,1,25,1,400,20,30,0.3170,0.6786,0.4760,0.5573,6.2160,4.108e-15,centres,bulger,,,
2,5,6,16,asym,decay,0,3,1,2394,20,30,2.1241,3.9701,14.0965,8.1067,24.4560,2.370e-14,centres,bulger,,,
2,5,6,16,asym,decay,1,3,1,3332,20,30,2.1109,4.8447,8.0894,8.9173,24.4560,5.773e-15,centres,bulger,,,
2,5,6,16,asym,decay,0,25,1,330,20,30,7.5753,4.3960,2.2730,8.1067,24.4560,5.884e-15,centres,mobius,,,
