1,0,3,12,1,5,3600,1320,0.1185,1.1790
1,0,3,12,200,5,3600,1320,0.1697,190.3980
1,0,3,24,1,5,3600,12144,0.3498,1.8057
1,0,3,24,200,5,3600,12144,0.4256,190.6158
1,0,4,12,1,5,3600,11880,0.4254,2.7192
1,0,4,12,200,5,3600,11880,0.5502,828.8660
1,0,4,24,1,5,3600,255024,12.7033,3.5296
1,0,4,24,200,5,3600,255024,-1.0000,904.4982
1,0,3,12,1,5,9600,1320,0.1023,2.5850
1,0,3,12,200,5,9600,1320,0.1578,498.9061
1,0,3,24,1,5,9600,12144,0.4302,3.1920
1,0,3,24,200,5,9600,12144,0.4702,494.4338
1,0,4,12,1,5,9600,11880,0.4584,5.7762
1,0,4,12,200,5,9600,11880,0.5808,2158.1275
1,0,4,24,1,5,9600,255024,13.8346,4.1731
1,0,4,24,200,5,9600,255024,-1.0000,1776.0556
1,0,3,12,1,15,1200,1320,0.1326,0.4222
1,0,3,12,200,15,1200,1320,0.3913,16.4277
1,0,3,24,1,15,1200,12144,0.3661,0.5235
1,0,3,24,200,15,1200,12144,2.9220,11.2524
1,0,4,12,1,15,1200,11880,0.5312,0.8915
1,0,4,12,200,15,1200,11880,1.1875,91.6498
1,0,4,24,1,15,1200,255024,7.7123,1.1342
1,0,4,24,200,15,1200,255024,-1.0000,73.4316
1,0,3,12,1,15,9600,1320,0.1094,1.2728
1,0,3,12,200,15,9600,1320,0.1835,139.4500
1,0,3,24,1,15,9600,12144,0.4082,0.9663
1,0,3,24,200,15,9600,12144,0.4799,162.7853
1,0,4,12,1,15,9600,11880,0.4403,2.3835
1,0,4,12,200,15,9600,11880,0.5660,657.6439
1,0,4,24,1,15,9600,255024,11.8867,3.1700
1,0,4,24,200,15,9600,255024,-1.0000,765.0887
1,0,3,12,1,60,1200,1320,0.1231,0.3998
1,0,3,12,200,60,1200,1320,3.4502,3.3793
1,0,3,24,1,60,1200,12144,0.6249,0.3757
1,0,3,24,200,60,1200,12144,34.2261,3.4050
1,0,4,12,1,60,1200,11880,0.4920,0.6852
1,0,4,12,200,60,1200,11880,18.6853,29.2974
1,0,4,24,1,60,1200,255024,8.5792,0.7894
1,0,4,24,200,60,1200,255024,-1.0000,16.5671
1,0,3,12,1,60,3600,1320,0.1250,0.4190
1,0,3,12,200,60,3600,1320,0.6399,9.5952
1,0,3,24,1,60,3600,12144,0.3526,0.4831
1,0,3,24,200,60,3600,12144,3.9004,10.6517
1,0,4,12,1,60,3600,11880,0.3883,0.7599
1,0,4,12,200,60,3600,11880,1.4498,70.6859
1,0,4,24,1,60,3600,255024,7.4922,0.8975
