# calibrateRelIpCost
# generated 2026-08-01 15:51:46
# matlab 26.1.0.3251617 (R2026a) Update 2 on MACA64
# truncationSigmas 6, period 1200
# budgetSec 5, seeds 1
# times in milliseconds. Inf means the arm exceeded the budget: its time is
# unknown but at least the budget, which still settles the comparison. NaN
# means the arm is inadmissible in that mode, or errored. A declined_ column
# reads - when the arm was measured normally.
r,K_x,K_y,N,shape,weights,isPer,sigma,seed,nu,M_x,M_y,t_bulger,t_centres,t_grid,pred_bulger,pred_mobius,max_abs_diff,gate_route,faster,declined_bulger,declined_centres,declined_grid
2,5,6,1,asym,flat,0,25,1,228,20,30,0.2768,0.3007,0.3829,0.0317,5.0760,4.504e-12,centres,bulger,-,-,-
2,5,6,1,asym,flat,1,25,1,400,20,30,0.2369,0.2440,0.3328,0.0348,5.0760,6.194e-12,centres,bulger,-,-,-
2,5,6,4,asym,flat,0,3,1,2195,20,30,0.4375,0.6259,2.4233,0.5067,6.2160,1.490e-13,grid,bulger,-,-,-
2,5,6,4,asym,flat,1,3,1,3332,20,30,0.6025,0.5531,1.9370,0.5573,6.2160,2.013e-13,grid,mobius,-,-,-
2,5,6,4,asym,flat,0,25,1,304,20,30,0.4583,0.6399,0.9065,0.5067,6.2160,6.828e-14,grid,bulger,-,-,-
2,5,6,4,asym,flat,1,25,1,400,20,30,0.7094,0.5888,0.6713,0.5573,6.2160,7.105e-15,grid,mobius,-,-,-
2,5,6,16,asym,flat,0,3,1,2395,20,30,2.0129,1.5705,8.5382,8.1067,24.4560,7.727e-14,grid,mobius,-,-,-
2,5,6,16,asym,flat,1,3,1,3332,20,30,2.4619,1.7248,5.7949,8.9173,24.4560,1.665e-15,grid,mobius,-,-,-
2,5,6,16,asym,flat,0,25,1,329,20,30,2.1903,1.3793,3.2614,8.1067,24.4560,5.551e-16,grid,mobius,-,-,-
2,5,6,16,asym,flat,1,25,1,400,20,30,2.8021,1.5956,2.2557,8.9173,24.4560,3.331e-16,grid,mobius,-,-,-
